Entr,Row,Col,05-Aug,04-Sep,Cruza,Historial,Peso,Humedad,Percent1,Percent2,KgHa,t
884,19,2,,,ALTAR 84/AE.SQUARROSA (221)//3*BORL95/3/URES/JUN//KAUZ/4/WBLL1/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,CMSS06Y00117S-0B-099Y-099ZTM-099Y-099M-7WGY-0B,860,151,67,79,2806,
885,19,3,,1,ATTILA*2/PBW65*2//W485/HD29,CMSS06Y00959T-099TOPM-099Y-099ZTM-099Y-099M-6WGY-0B,1045,147,81,96,3409,x
886,19,4,,,BAV92//IRENA/KAUZ/3/HUITES*2/4/CROC_1/AE.SQUARROSA (224)//KULIN/3/WESTONIA,CMSS06Y00969T-099TOPM-099Y-099ZTM-099Y-099M-5WGY-0B,566,149,63,52,1846,
887,19,5,,,KACHU #1/4/CROC_1/AE.SQUARROSA (205)//KAUZ/3/SASIA/5/KACHU,CMSS06Y01016T-099TOPM-099Y-099ZTM-099Y-0FUS-18WGY-0B,786,144,87,72,2564,
888,19,6,,,KACHU #1/4/CROC_1/AE.SQUARROSA (205)//KAUZ/3/SASIA/5/KACHU,CMSS06Y01016T-099TOPM-099Y-099ZTM-099Y-0FUS-34WGY-0B,921,139,102,84,3005,
889,19,7,,,KAUZ/PASTOR//PBW343/3/HAR311/5/OASIS/SKAUZ//4*BCN/3/PASTOR/4/KAUZ*3/YACO,CMSS06Y00805T-099TOPM-099Y-099ZTM-099NJ-099NJ-2WGY-0B,820,150,91,75,2675,
890,19,8,,,CD 150,,900,153,100,,2936,
891,19,9,,,SAUAL/KIRITATI//SAUAL,CMSS06Y00785T-099TOPM-099Y-099ZTM-099Y-099M-14WGY-0B,651,146,72,73,2124,
892,19,10,,,TUKURU//BAV92/RAYON*2/3/PVN,CMSS06Y00830T-099TOPM-099Y-099ZTM-099Y-099M-28WGY-0B,889,143,99,100,2900,
893,19,11,,,UP2338*2/KKTS*2//YANAC,CMSS06Y00861T-099TOPM-099Y-099ZTM-099NJ-099NJ-37WGY-0B,732,147,81,82,2388,
894,19,12,,,VORB*2/3/PFAU/WEAVER//KIRITATI,CMSA06M00111T-040Y-040ZTM-0NJ-0NJ-11Y-1B-0Y-0B,776,162,86,87,2531,
895,19,13,,1,VORB/3/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR,CMSA06M00667S-040ZTM-040ZTY-10ZTM-0Y-0B,894,150,99,101,2916,
896,19,14,,,VORB/SOKOLL,CMSA06M00621S-040ZTM-040ZTY-16ZTM-03Y-0B,238,,27,27,778,
897,19,15,,s,WAXWING*2/HEILO,CMSS06B00915T-099TOPY-099ZTM-099Y-099M-20WGY-0B,862,151,98,97,2812,x
898,19,16,,,1447/PASTOR//KRICHAUFF/5/2*SERI*3//RL6010/4*YR/3/PASTOR/4/BAV92,CMSA07M00022T-032(B=WMC221SR25HET)Y-040ZTM-074(WMC0221SR25HOM+HET)Y-55ZTM-010Y-01B-0Y,790,145,90,89,2577,
899,19,17,,,KA/NAC//TRCH/3/VORB,CMSA07M00443S-040ZTM-040ZTY-47ZTM-010Y-02B-0Y,736,153,84,83,2401,
900,19,18,,,DON ALBERTO,,879,145,100,,2868,
901,19,19,,s,VORB*2/5/CROC_1/AE.SQUARROSA (224)//OPATA/3/RAC655/4/SLVS/PASTOR,CMSA07Y01204T-013( C=CRE1M19 NEG CRE3SPHET)B-040Y-040ZTM-040Y-2ZTM-010Y-0B,932,147,106,95,3041,
902,19,20,,,TOB/ERA//TOB/CNO67/3/PLO/4/VEE#5/5/KAUZ/6/FRET2/7/VORB,CMSA07M00365S-040M-0NJ-0NJ-26Y-0B,625,150,71,64,2039,
903,19,21,,,KACHU/KINDE,CMSS07B00101S-099M-099NJ-099NJ-10WGY-0B,738,149,84,75,2408,
904,19,22,,,KACHU/KINDE,CMSS07B00101S-099M-099NJ-099NJ-12WGY-0B,645,143,73,66,2104,
905,19,23,,,ATTILA*2/PBW65//MURGA,CMSS06Y00162S-0B-099Y-099ZTM-099Y-099M-10WGY-0B,963,147,110,98,3142,
906,19,24,,s,CNO79//PF70354/MUS/3/PASTOR/4/BAV92*2/5/HAR311,CMSS06Y00706T-099TOPM-099Y-099ZTM-099NJ-099NJ-7WGY-0B,800,146,74,81,2610,
907,19,25,,1,WAXBILL,CMSS06B00915T-099TOPY-099ZTM-099Y-099M-4WGY-0B,1149,149,106,117,3748,x
908,19,26,,,STLN/MUNAL #1,CMSS07Y00452S-0B-099Y-099M-099Y-18M-0WGY,1033,147,95,105,3370,
909,19,27,,s,QUAIU #1*2/JUCHI,CMSS07Y01011T-099TOPM-099Y-099M-099NJ-099NJ-3WGY-0B,844,144,78,86,2754,
910,19,28,,,ITAPUA 75,,1087,150,100,,3546,
911,19,29,,,BRBT1*2/KIRITATI//FRNCLN,CMSS07B00044S-099M-099Y-099M-13WGY-0B,908,156,84,55,2962,
912,19,30,,,KAUZ*2/MNV//KAUZ/3/MILAN/4/BAV92/5/DANPHE #1,CMSS07B00098S-099M-099NJ-099NJ-4WGY-0B,752,147,69,46,2453,
